Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
1330CVAE;19;AB;MOA;C516.5004.01;NON;;Valeur;Valeur ajoutée soumise à la CVAE;
1330CVAE;19;AC;MOA;C516.5004.01;NON;;Valeur;Chiffre d'affaires de référence;
1330CVAE;19;AE;DTM;C507.2380.01;NON;102;Valeur;Date de signature de la déclaration;Format attendu : yyyyMMdd
1330CVAE;19;AF;NAD;0000.3164.01;NON;;AdresseVille;Ville de signature de la déclaration;SIGNATURE
1330CVAE;19;AF;NAD;C080.3036.01;NON;;Designation;Nom du signataire de la déclaration;SIGNATURE
1330CVAE;19;AF;NAD;C080.3036.02;NON;;DesignationSuite1;Qualité du signataire de la déclaration;SIGNATURE
1330CVAE;19;AF;NAD;C080.3036.03;NON;;DesignationSuite2;Signature du déclarant, titre du signataire;SIGNATURE
1330CVAE;19;AG;MOA;C516.5004.01;NON;;Valeur;Chiffre d'affaires de référence du groupe;
1330CVAE;19;AH;DTM;C507.2380.01;NON;102;Valeur;Date de cessation de l'entreprise;Format attendu : yyyyMMdd
1330CVAE;19;BA;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (1);IDENTIFIANT COMMUNE
1330CVAE;19;BA;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (1);IDENTIFIANT COMMUNE
1330CVAE;19;BB;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (2);IDENTIFIANT COMMUNE
1330CVAE;19;BB;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (2);IDENTIFIANT COMMUNE
1330CVAE;19;BC;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (3);IDENTIFIANT COMMUNE
1330CVAE;19;BC;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (3);IDENTIFIANT COMMUNE
1330CVAE;19;BD;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (4);IDENTIFIANT COMMUNE
1330CVAE;19;BD;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (4);IDENTIFIANT COMMUNE
1330CVAE;19;BE;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (5);IDENTIFIANT COMMUNE
1330CVAE;19;BE;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (5);IDENTIFIANT COMMUNE
1330CVAE;19;BF;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (6);IDENTIFIANT COMMUNE
1330CVAE;19;BF;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (6);IDENTIFIANT COMMUNE
1330CVAE;19;BG;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (7);IDENTIFIANT COMMUNE
1330CVAE;19;BG;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (7);IDENTIFIANT COMMUNE
1330CVAE;19;BH;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (1);COMMUNE
1330CVAE;19;BJ;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (2);COMMUNE
1330CVAE;19;BK;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (3);COMMUNE
1330CVAE;19;BL;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (4);COMMUNE
1330CVAE;19;BM;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (5);COMMUNE
1330CVAE;19;BN;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (6);COMMUNE
1330CVAE;19;BP;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (7);COMMUNE
1330CVAE;19;BQ;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (8);COMMUNE
1330CVAE;19;CA;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (1);
1330CVAE;19;CB;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (2);
1330CVAE;19;CC;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (3);
1330CVAE;19;CD;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (4);
1330CVAE;19;CE;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (5);
1330CVAE;19;CF;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (6);
1330CVAE;19;CG;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (7);
1330CVAE;19;CH;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (1);
1330CVAE;19;CJ;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (2);
